Date,Close,High,Low,Open,Volume
2000-01-03,35.52037048339844,36.148881060316484,34.130028904155495,35.76796555915403,53228400
2000-01-04,34.320491790771484,35.69178780016968,34.20621712332163,34.606178459396105,54119000
2000-01-05,34.6823616027832,35.46323849773878,33.33011137005525,33.86339315197613,64059600
2000-01-06,33.52056121826172,34.701399170268665,33.02537110935558,34.187163287943065,54976600
2000-01-07,33.95862579345703,34.20622093384679,32.70160431147825,33.10156569210786,62013600
2000-01-10,34.20622253417969,34.6442754953635,33.93958160128519,34.56809237167936,44963600
2000-01-11,33.330116271972656,34.815687168666294,33.1206126839774,33.97767281668527,46743600
2000-01-12,32.24451446533203,33.17775794365529,31.825507189350162,33.06348323202386,66532400
2000-01-13,32.85395431518555,33.101549333213036,30.93033148281816,31.80643693122311,83144000
2000-01-14,34.20622253417969,34.72045861904765,32.225461318392,32.663514279575814,73416400
2000-01-18,35.13945388793945,35.5013236027746,34.053844743434006,34.07289051789901,81483600
2000-01-19,32.606361389160156,33.97765696160147,32.30162903972875,33.672924612170064,97568200
2000-01-20,32.30165481567383,33.425356250888896,32.263563241598746,32.62543319531207,56349800
2000-01-21,31.61599349975586,32.6825571358922,31.463627266022097,32.60637401902532,68416200
2000-01-24,30.854167938232422,32.20641850836483,30.720847459486972,31.630283582357713,63597600
2000-01-25,31.330293655395508,31.654071766119962,30.33991355200307,30.77796629004203,59823200
2000-01-26,30.282800674438477,31.539822589226485,30.206617528087687,31.216044217235634,49365000
2000-01-27,30.092330932617188,30.83511631639698,29.63523223490655,30.43991640066799,63654800
2000-01-28,29.939958572387695,30.54942337793248,29.6352261696153,29.901867022041145,58225400
2000-01-31,29.8256893157959,29.920918208885922,28.911491942131654,29.749506201323875,73194200
2000-02-01,31.368406295776367,31.463635215921407,29.768560437339683,30.01615562971679,70196600
2000-02-02,30.720836639404297,31.67312543789792,30.625607759554935,31.21602681462098,49915600
2000-02-03,31.577909469604492,31.7493215234202,30.511345579195655,31.10176487567198,49186000
